Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2001-01-01,0,15.9,22,28,11.8
BB17,-72.9981,41.4451,594,2001-01-02,0.29,7.5,18,28.5,9.7
BB17,-72.9981,41.4451,594,2001-01-03,0,5.4,15.2,24.9,7.2
BB17,-72.9981,41.4451,594,2001-01-04,0,10.5,20.8,31.1,12.5
BB17,-72.9981,41.4451,594,2001-01-05,0.05,13.7,23.1,32.4,14.2
BB17,-72.9981,41.4451,594,2001-01-06,0.14,13.7,22.8,31.9,21.9
BB17,-72.9981,41.4451,594,2001-01-07,0,17.8,27.2,36.6,19.6
BB17,-72.9981,41.4451,594,2001-01-08,0.06,18.4,28.1,37.8,19.7
BB17,-72.9981,41.4451,594,2001-01-09,0.25,19.1,27.9,36.8,26.5
BB17,-72.9981,41.4451,594,2001-01-10,0.02,11.8,20.9,29.9,11.6
BB17,-72.9981,41.4451,594,2001-01-11,0,9,17.8,26.6,5.7
BB17,-72.9981,41.4451,594,2001-01-12,0,17.3,28.8,40.4,20.3
BB17,-72.9981,41.4451,594,2001-01-13,0,11.6,23.9,36.1,12.1
BB17,-72.9981,41.4451,594,2001-01-14,0,12.2,24.5,36.8,15.5
BB17,-72.9981,41.4451,594,2001-01-15,0.1,18.1,29.1,40,24.8
BB17,-72.9981,41.4451,594,2001-01-16,0.11,29.7,32.6,35.5,30.9
BB17,-72.9981,41.4451,594,2001-01-17,0,30.8,36.9,43.1,28.4
BB17,-72.9981,41.4451,594,2001-01-18,0,18.7,29.7,40.7,20.9
BB17,-72.9981,41.4451,594,2001-01-19,0.23,17.9,25.5,33.1,23.3
BB17,-72.9981,41.4451,594,2001-01-20,0.34,30.2,32.6,35,32.1
BB17,-72.9981,41.4451,594,2001-01-21,0.29,20.3,26.4,32.4,22.2
BB17,-72.9981,41.4451,594,2001-01-22,0.33,9.6,19,28.3,9.9
BB17,-72.9981,41.4451,594,2001-01-23,0,5.1,19,32.9,12.5
BB17,-72.9981,41.4451,594,2001-01-24,0,7.3,21.6,36,17.5
BB17,-72.9981,41.4451,594,2001-01-25,0,19.3,29.1,38.9,20.7
BB17,-72.9981,41.4451,594,2001-01-26,0,14.8,26.2,37.7,15.8
BB17,-72.9981,41.4451,594,2001-01-27,0.03,14.7,24.3,33.8,14.4
BB17,-72.9981,41.4451,594,2001-01-28,0,23.9,30.5,37.2,22.1
BB17,-72.9981,41.4451,594,2001-01-29,0,12.5,22.8,33.1,12.2
BB17,-72.9981,41.4451,594,2001-01-30,0.04,12.9,24.5,36,17.7
BB17,-72.9981,41.4451,594,2001-01-31,0.65,31,38,44.9,34.7
BB17,-72.9981,41.4451,594,2001-02-01,0,29.3,38.1,46.9,31
BB17,-72.9981,41.4451,594,2001-02-02,0,26.5,35.4,44.3,26.3
BB17,-72.9981,41.4451,594,2001-02-03,0,20.1,28.9,37.7,21.7
BB17,-72.9981,41.4451,594,2001-02-04,0,9,19.4,29.9,7.3
BB17,-72.9981,41.4451,594,2001-02-05,0.76,13.7,22.2,30.8,16.2
BB17,-72.9981,41.4451,594,2001-02-06,0.79,25.2,29.5,33.8,27.4
BB17,-72.9981,41.4451,594,2001-02-07,0,27.3,33.7,40.1,27
BB17,-72.9981,41.4451,594,2001-02-08,0,18.4,28.8,39.1,19.7
BB17,-72.9981,41.4451,594,2001-02-09,0.04,25.8,30.2,34.7,25.5
BB17,-72.9981,41.4451,594,2001-02-10,0.02,32.5,41.2,49.8,38.5
BB17,-72.9981,41.4451,594,2001-02-11,0,17.6,34.4,51.3,11
