Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2001-06-01,0.01,36.7,50.4,64.1,35.2
BB17,-72.9981,41.4451,594,2001-06-02,1.15,53.9,60.8,67.6,45.7
BB17,-72.9981,41.4451,594,2001-06-03,0.33,58.5,63.3,68.1,61.2
BB17,-72.9981,41.4451,594,2001-06-04,0.14,49.8,59.9,70,53.3
BB17,-72.9981,41.4451,594,2001-06-05,0,46.6,57.7,68.8,50
BB17,-72.9981,41.4451,594,2001-06-06,0,56,64.9,73.8,50.8
BB17,-72.9981,41.4451,594,2001-06-07,0,47.4,60.5,73.7,47.3
BB17,-72.9981,41.4451,594,2001-06-08,0,49.5,62.4,75.4,47.5
BB17,-72.9981,41.4451,594,2001-06-09,0,48.2,62.7,77.2,42.8
BB17,-72.9981,41.4451,594,2001-06-10,0,50.4,63.9,77.4,45.4
BB17,-72.9981,41.4451,594,2001-06-11,0.23,53.6,66.5,79.5,48.5
BB17,-72.9981,41.4451,594,2001-06-12,0.26,56.9,64.5,72.2,60.8
BB17,-72.9981,41.4451,594,2001-06-13,0,61.8,69.7,77.7,60.5
BB17,-72.9981,41.4451,594,2001-06-14,0,61.3,70.5,79.7,64.8
BB17,-72.9981,41.4451,594,2001-06-15,0,64.1,73.6,83,67.4
BB17,-72.9981,41.4451,594,2001-06-16,0,67.1,75.2,83.3,68.6
BB17,-72.9981,41.4451,594,2001-06-17,2.02,67.1,74.7,82.3,70.5
BB17,-72.9981,41.4451,594,2001-06-18,1.22,61.3,67.3,73.2,63
BB17,-72.9981,41.4451,594,2001-06-19,0,56.3,68.7,81.1,56.6
BB17,-72.9981,41.4451,594,2001-06-20,0.05,62.5,73.4,84.2,61.3
BB17,-72.9981,41.4451,594,2001-06-21,0.15,62.4,74.8,87.3,65.4
BB17,-72.9981,41.4451,594,2001-06-22,0.09,59.8,65.8,71.8,58.8
BB17,-72.9981,41.4451,594,2001-06-23,0.13,63.1,70.5,77.8,65.7
BB17,-72.9981,41.4451,594,2001-06-24,0.19,67.5,72.1,76.8,68.4
BB17,-72.9981,41.4451,594,2001-06-25,0,58,67.4,76.9,61.5
BB17,-72.9981,41.4451,594,2001-06-26,0,59.8,71,82.2,61.1
