Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2017-06-01,0.45,54.8,62.1,69.5,55.9
BB17,-72.9981,41.4451,594,2017-06-02,0,48.1,61.6,75.1,45.4
BB17,-72.9981,41.4451,594,2017-06-03,0,44.4,58.4,72.4,40.2
BB17,-72.9981,41.4451,594,2017-06-04,0,46.4,58.8,71.1,40.7
BB17,-72.9981,41.4451,594,2017-06-05,0.38,53.1,61.2,69.2,49.8
BB17,-72.9981,41.4451,594,2017-06-06,0.06,50,56.7,63.4,52.1
BB17,-72.9981,41.4451,594,2017-06-07,0.12,48.4,51.8,55.2,45
BB17,-72.9981,41.4451,594,2017-06-08,0,46.3,58.4,70.6,45.6
BB17,-72.9981,41.4451,594,2017-06-09,0,44.4,57.7,71,44.6
BB17,-72.9981,41.4451,594,2017-06-10,0,53,65.6,78.1,48.5
BB17,-72.9981,41.4451,594,2017-06-11,0,60.1,71.1,82,55.7
BB17,-72.9981,41.4451,594,2017-06-12,0,64,76.6,89.1,59.7
BB17,-72.9981,41.4451,594,2017-06-13,0,65.4,78.4,91.5,60.9
BB17,-72.9981,41.4451,594,2017-06-14,0,68.5,80.1,91.7,62.5
BB17,-72.9981,41.4451,594,2017-06-15,0,53.4,68,82.7,49.1
BB17,-72.9981,41.4451,594,2017-06-16,0,56.5,65.6,74.7,50
BB17,-72.9981,41.4451,594,2017-06-17,0.53,60.4,63.9,67.4,58.1
BB17,-72.9981,41.4451,594,2017-06-18,0.07,64.1,68.1,72.1,64.9
BB17,-72.9981,41.4451,594,2017-06-19,0,69.7,74.9,80.1,68.6
BB17,-72.9981,41.4451,594,2017-06-20,0.79,66.5,73.7,81,67.4
BB17,-72.9981,41.4451,594,2017-06-21,0,57.5,69.4,81.3,55.5
BB17,-72.9981,41.4451,594,2017-06-22,0.02,55.3,68.2,81.1,54.4
BB17,-72.9981,41.4451,594,2017-06-23,0,64.3,73,81.8,58.2
BB17,-72.9981,41.4451,594,2017-06-24,0.09,70.5,76.7,82.9,68.7
BB17,-72.9981,41.4451,594,2017-06-25,0.17,57.9,70.4,82.8,57.1
BB17,-72.9981,41.4451,594,2017-06-26,0.04,52.5,66.4,80.4,54.1
BB17,-72.9981,41.4451,594,2017-06-27,0.05,55.4,66.3,77.2,50.6
BB17,-72.9981,41.4451,594,2017-06-28,0.17,49.6,61.7,73.8,51.1
BB17,-72.9981,41.4451,594,2017-06-29,0,58.2,67.6,77,50
BB17,-72.9981,41.4451,594,2017-06-30,0,65,71.3,77.6,58.9
BB17,-72.9981,41.4451,594,2017-07-01,0.72,66.9,75.2,83.5,66
BB17,-72.9981,41.4451,594,2017-07-02,0.03,68.3,74.1,79.9,68.2
BB17,-72.9981,41.4451,594,2017-07-03,0,62.5,73.8,85,62.4
BB17,-72.9981,41.4451,594,2017-07-04,0,59.9,71.8,83.7,56.6
BB17,-72.9981,41.4451,594,2017-07-05,0,59.5,70.8,82.1,53.3
BB17,-72.9981,41.4451,594,2017-07-06,0,59.9,70.6,81.3,54.7
BB17,-72.9981,41.4451,594,2017-07-07,0.1,63.4,69.7,76.1,57.5
BB17,-72.9981,41.4451,594,2017-07-08,1.43,63.8,69.1,74.4,63
BB17,-72.9981,41.4451,594,2017-07-09,0,58.2,70.4,82.6,61.5
BB17,-72.9981,41.4451,594,2017-07-10,0,58.1,68.5,79,53.3
