Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2018-06-01,0.09,61.3,67.3,73.2,62.9
BB17,-72.9981,41.4451,594,2018-06-02,0.02,65.4,72.6,79.7,67.9
BB17,-72.9981,41.4451,594,2018-06-03,0.03,56.9,70.7,84.4,62.9
BB17,-72.9981,41.4451,594,2018-06-04,0.49,47.1,58.2,69.3,48.2
BB17,-72.9981,41.4451,594,2018-06-05,0.26,47.5,54.7,61.8,51.5
BB17,-72.9981,41.4451,594,2018-06-06,0.02,47.5,58.1,68.7,49.7
BB17,-72.9981,41.4451,594,2018-06-07,0,51.8,59.6,67.5,50.9
BB17,-72.9981,41.4451,594,2018-06-08,0,53,60.9,68.7,53.2
BB17,-72.9981,41.4451,594,2018-06-09,0,57.4,68.4,79.3,57.7
BB17,-72.9981,41.4451,594,2018-06-10,0,55.9,66.3,76.7,49.7
BB17,-72.9981,41.4451,594,2018-06-11,0,52.3,61.3,70.4,49.3
BB17,-72.9981,41.4451,594,2018-06-12,0,46.1,58.3,70.4,45.2
BB17,-72.9981,41.4451,594,2018-06-13,0,54.4,64.1,73.8,49
BB17,-72.9981,41.4451,594,2018-06-14,0,60.7,66.6,72.6,62.1
BB17,-72.9981,41.4451,594,2018-06-15,0,54.4,68,81.5,50.7
BB17,-72.9981,41.4451,594,2018-06-16,0,49.9,60.1,70.3,51.7
BB17,-72.9981,41.4451,594,2018-06-17,0,53.8,68,82.1,52.1
BB17,-72.9981,41.4451,594,2018-06-18,0,62.5,74.6,86.7,56.2
BB17,-72.9981,41.4451,594,2018-06-19,0.01,69.7,78.1,86.5,68.9
BB17,-72.9981,41.4451,594,2018-06-20,0,57.7,70.6,83.4,54.1
BB17,-72.9981,41.4451,594,2018-06-21,0.03,62.5,71.3,80.1,58.3
BB17,-72.9981,41.4451,594,2018-06-22,0,58.2,70.7,83.2,55.2
BB17,-72.9981,41.4451,594,2018-06-23,0,57.2,66.6,76.1,53.2
BB17,-72.9981,41.4451,594,2018-06-24,0,56.4,60.3,64.2,57.3
BB17,-72.9981,41.4451,594,2018-06-25,0.77,60.6,69.1,77.7,64.6
BB17,-72.9981,41.4451,594,2018-06-26,0,50.6,63.6,76.6,48.4
BB17,-72.9981,41.4451,594,2018-06-27,0,57.8,67.1,76.4,52.6
BB17,-72.9981,41.4451,594,2018-06-28,1.37,62.8,68,73.2,61.8
BB17,-72.9981,41.4451,594,2018-06-29,0.95,63.3,71.2,79.1,68.5
BB17,-72.9981,41.4451,594,2018-06-30,0,64.5,75.5,86.6,63.1
BB17,-72.9981,41.4451,594,2018-07-01,0,68.2,78.4,88.7,64.7
BB17,-72.9981,41.4451,594,2018-07-02,0,70.8,82.2,93.6,71.6
BB17,-72.9981,41.4451,594,2018-07-03,0,70.7,79.9,89.2,71.3
BB17,-72.9981,41.4451,594,2018-07-04,0,70.8,80.3,89.7,73.1
BB17,-72.9981,41.4451,594,2018-07-05,0,69.7,79.4,89.2,71.4
BB17,-72.9981,41.4451,594,2018-07-06,0,73.3,80.3,87.3,71.6
BB17,-72.9981,41.4451,594,2018-07-07,0.12,52.8,66.6,80.5,58.3
BB17,-72.9981,41.4451,594,2018-07-08,0,52.2,64.4,76.6,49.3
BB17,-72.9981,41.4451,594,2018-07-09,0,56.7,69.1,81.5,54.6
BB17,-72.9981,41.4451,594,2018-07-10,0,59.9,72.5,85.1,59.5
BB17,-72.9981,41.4451,594,2018-07-11,0,67.2,78.3,89.4,62.2
BB17,-72.9981,41.4451,594,2018-07-12,0.05,59.4,71.2,83,58.6
BB17,-72.9981,41.4451,594,2018-07-13,0,58.1,69.5,80.8,54.4
BB17,-72.9981,41.4451,594,2018-07-14,0,61.9,72.1,82.2,60.6
BB17,-72.9981,41.4451,594,2018-07-15,0.35,67.2,75.7,84.1,65.7
BB17,-72.9981,41.4451,594,2018-07-16,0,66.3,74.8,83.3,68.8
BB17,-72.9981,41.4451,594,2018-07-17,0,70.7,79.6,88.5,70.5
BB17,-72.9981,41.4451,594,2018-07-18,1.22,62.5,73.4,84.3,68.3
BB17,-72.9981,41.4451,594,2018-07-19,0,54.9,67.4,80,54.5
BB17,-72.9981,41.4451,594,2018-07-20,0,55.2,67.2,79.2,53.8
BB17,-72.9981,41.4451,594,2018-07-21,0,57,68.7,80.4,57.3
BB17,-72.9981,41.4451,594,2018-07-22,1.07,61,68.4,75.8,58.9
BB17,-72.9981,41.4451,594,2018-07-23,0.91,69.9,74.7,79.5,70.8
BB17,-72.9981,41.4451,594,2018-07-24,0.26,72.2,76,79.8,71.2
BB17,-72.9981,41.4451,594,2018-07-25,0.1,72.7,77.8,82.9,71.1
BB17,-72.9981,41.4451,594,2018-07-26,1.15,68.9,72.9,77,70.8
BB17,-72.9981,41.4451,594,2018-07-27,0.03,65.8,73.8,81.8,69.1
BB17,-72.9981,41.4451,594,2018-07-28,0.09,63.6,73.9,84.2,67.9
BB17,-72.9981,41.4451,594,2018-07-29,0.2,61.8,72,82.2,65.9
BB17,-72.9981,41.4451,594,2018-07-30,0,59.8,69.1,78.3,60.5
BB17,-72.9981,41.4451,594,2018-07-31,0,61.1,69.4,77.6,62.7
BB17,-72.9981,41.4451,594,2018-08-01,0.04,65.4,73.1,80.8,64
BB17,-72.9981,41.4451,594,2018-08-02,0.3,68.8,74.9,81.1,72.3
BB17,-72.9981,41.4451,594,2018-08-03,1.13,71.6,78.5,85.4,72
BB17,-72.9981,41.4451,594,2018-08-04,0.13,71.1,77.9,84.6,71.6
BB17,-72.9981,41.4451,594,2018-08-05,0.75,64.5,72.7,80.9,68.9
BB17,-72.9981,41.4451,594,2018-08-06,0,67.1,77.3,87.6,67.8
BB17,-72.9981,41.4451,594,2018-08-07,0,70.5,80.2,89.8,70.5
BB17,-72.9981,41.4451,594,2018-08-08,0.03,68.1,78,87.9,71.3
BB17,-72.9981,41.4451,594,2018-08-09,0.65,69.7,78.2,86.7,71.4
BB17,-72.9981,41.4451,594,2018-08-10,0,62.9,73.6,84.2,65.1
BB17,-72.9981,41.4451,594,2018-08-11,0.08,65.9,75,84.1,66.4
BB17,-72.9981,41.4451,594,2018-08-12,0.56,66.2,69.6,73,68.5
BB17,-72.9981,41.4451,594,2018-08-13,0.1,68.1,73.8,79.4,68.9
BB17,-72.9981,41.4451,594,2018-08-14,0.85,68,70.1,72.1,69.5
BB17,-72.9981,41.4451,594,2018-08-15,0.13,65.8,73.6,81.5,67.4
BB17,-72.9981,41.4451,594,2018-08-16,0,66.5,75.5,84.6,67.6
BB17,-72.9981,41.4451,594,2018-08-17,0,67.9,76.8,85.7,68.8
BB17,-72.9981,41.4451,594,2018-08-18,0.53,69.6,77.6,85.6,71.2
BB17,-72.9981,41.4451,594,2018-08-19,0.36,64,73.7,83.3,67.4
BB17,-72.9981,41.4451,594,2018-08-20,0,63.2,69.2,75.3,58.9
BB17,-72.9981,41.4451,594,2018-08-21,0,60.2,67.6,75,61
BB17,-72.9981,41.4451,594,2018-08-22,0.18,63.3,69.6,75.9,63.9
BB17,-72.9981,41.4451,594,2018-08-23,0.03,62.5,71.5,80.5,63
BB17,-72.9981,41.4451,594,2018-08-24,0.01,54.3,64.9,75.5,52.8
BB17,-72.9981,41.4451,594,2018-08-25,0,58.1,69.3,80.6,58.6
BB17,-72.9981,41.4451,594,2018-08-26,0,55.9,66.7,77.5,58.1
BB17,-72.9981,41.4451,594,2018-08-27,0,64.7,72.7,80.7,65.7
BB17,-72.9981,41.4451,594,2018-08-28,0,69.5,77.3,85.1,69.8
BB17,-72.9981,41.4451,594,2018-08-29,0,72.3,81.6,90.8,72.7
BB17,-72.9981,41.4451,594,2018-08-30,0,72.7,82.1,91.5,71.7
BB17,-72.9981,41.4451,594,2018-08-31,0,63.4,74.8,86.2,62.6
BB17,-72.9981,41.4451,594,2018-09-01,0,60.5,67.7,74.9,60
BB17,-72.9981,41.4451,594,2018-09-02,0,59.4,67.1,74.8,60
BB17,-72.9981,41.4451,594,2018-09-03,0,66,72.6,79.3,68
BB17,-72.9981,41.4451,594,2018-09-04,0,71.4,80.3,89.3,72.3
BB17,-72.9981,41.4451,594,2018-09-05,0,67.1,77.5,87.9,69.1
BB17,-72.9981,41.4451,594,2018-09-06,0,70.3,78.2,86.2,71.8
BB17,-72.9981,41.4451,594,2018-09-07,0.7,66,78.3,90.7,70.9
BB17,-72.9981,41.4451,594,2018-09-08,0.65,61.2,65.3,69.5,61.7
BB17,-72.9981,41.4451,594,2018-09-09,0,52.2,59.3,66.3,49.7
BB17,-72.9981,41.4451,594,2018-09-10,0.23,50.7,55.3,59.9,48.1
BB17,-72.9981,41.4451,594,2018-09-11,1.04,52.5,56.9,61.3,56.2
BB17,-72.9981,41.4451,594,2018-09-12,0.16,61,67.4,73.8,67.4
BB17,-72.9981,41.4451,594,2018-09-13,0.24,64.1,68.9,73.7,67.5
BB17,-72.9981,41.4451,594,2018-09-14,0.02,64.6,68.5,72.3,65.9
BB17,-72.9981,41.4451,594,2018-09-15,0,62,67.9,73.8,63.9
BB17,-72.9981,41.4451,594,2018-09-16,0,60,69.7,79.3,63.5
BB17,-72.9981,41.4451,594,2018-09-17,0,62.6,72.9,83.3,65.1
BB17,-72.9981,41.4451,594,2018-09-18,0.12,66.8,72,77.3,68.8
BB17,-72.9981,41.4451,594,2018-09-19,0.55,64.3,70.3,76.3,67.6
BB17,-72.9981,41.4451,594,2018-09-20,0,58.5,67,75.6,60.2
BB17,-72.9981,41.4451,594,2018-09-21,0,60.1,65.1,70.1,57.5
BB17,-72.9981,41.4451,594,2018-09-22,0.03,62.3,66.8,71.3,62
BB17,-72.9981,41.4451,594,2018-09-23,0,51.3,59.6,67.9,49.8
BB17,-72.9981,41.4451,594,2018-09-24,0,48.1,55.6,63.2,49.4
BB17,-72.9981,41.4451,594,2018-09-25,0.11,48.5,54.4,60.3,48
BB17,-72.9981,41.4451,594,2018-09-26,3.39,50.2,60.2,70.2,60.2
BB17,-72.9981,41.4451,594,2018-09-27,0.62,55.5,66.4,77.2,63.9
BB17,-72.9981,41.4451,594,2018-09-28,0.38,51.4,60.9,70.3,53.3
BB17,-72.9981,41.4451,594,2018-09-29,0.14,50.2,55.4,60.6,52.4
BB17,-72.9981,41.4451,594,2018-09-30,0,44.7,57.2,69.6,50.3
BB17,-72.9981,41.4451,594,2018-10-01,0,51.3,59.1,67,51.2
BB17,-72.9981,41.4451,594,2018-10-02,0.02,55.6,62.8,70,58.7
BB17,-72.9981,41.4451,594,2018-10-03,1.33,56.2,62.9,69.6,61.6
BB17,-72.9981,41.4451,594,2018-10-04,0,54.5,63.2,72,57.7
BB17,-72.9981,41.4451,594,2018-10-05,0,54.3,63.3,72.4,60.6
BB17,-72.9981,41.4451,594,2018-10-06,0,53.1,59.5,66,49.1
BB17,-72.9981,41.4451,594,2018-10-07,0,55.2,61.1,67.1,57.5
BB17,-72.9981,41.4451,594,2018-10-08,0,58.8,68.5,78.2,64.3
BB17,-72.9981,41.4451,594,2018-10-09,0.04,57.6,61.2,64.7,58.5
