Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2021-06-01,0,43.8,53.6,63.6,47.6
BB17,-72.9981,41.4451,594,2021-06-02,0,51.4,62.9,74.3,49.7
BB17,-72.9981,41.4451,594,2021-06-03,0,55.5,66,76.4,55.3
BB17,-72.9981,41.4451,594,2021-06-04,0.15,58.3,63.1,67.8,62.2
BB17,-72.9981,41.4451,594,2021-06-05,0,60.7,68.5,76.1,63.5
BB17,-72.9981,41.4451,594,2021-06-06,0,64.1,75.8,87.5,62.2
BB17,-72.9981,41.4451,594,2021-06-07,0,67,78.6,90.1,62.5
BB17,-72.9981,41.4451,594,2021-06-08,0.02,69.3,79.2,88.8,68.5
BB17,-72.9981,41.4451,594,2021-06-09,0.11,69.1,78.5,87.8,70.4
BB17,-72.9981,41.4451,594,2021-06-10,0.01,66.6,77.2,87.7,66
BB17,-72.9981,41.4451,594,2021-06-11,0,51.5,66.1,80.5,50.7
BB17,-72.9981,41.4451,594,2021-06-12,0,57.9,65.8,73.7,50.3
BB17,-72.9981,41.4451,594,2021-06-13,0.06,51.9,60.1,68.3,54.9
BB17,-72.9981,41.4451,594,2021-06-14,0.12,59.7,68.7,77.6,55.5
BB17,-72.9981,41.4451,594,2021-06-15,0.55,59,63.5,68,60.6
BB17,-72.9981,41.4451,594,2021-06-16,0,56.2,66.7,77.5,56.2
BB17,-72.9981,41.4451,594,2021-06-17,0,46.1,59.4,72.9,43.3
BB17,-72.9981,41.4451,594,2021-06-18,0,48.7,62,75.4,44.3
BB17,-72.9981,41.4451,594,2021-06-19,0,63.4,72.2,81.1,54
BB17,-72.9981,41.4451,594,2021-06-20,0.11,61.6,73.1,84.4,63.3
BB17,-72.9981,41.4451,594,2021-06-21,0,66.2,74.8,83.4,64.9
BB17,-72.9981,41.4451,594,2021-06-22,0,68.5,74.8,81,69.5
BB17,-72.9981,41.4451,594,2021-06-23,0.31,48.4,61.9,75.7,55.3
BB17,-72.9981,41.4451,594,2021-06-24,0,49.5,61.3,73.3,46.9
BB17,-72.9981,41.4451,594,2021-06-25,0.03,55.6,65.1,74.8,50.5
BB17,-72.9981,41.4451,594,2021-06-26,0,58.6,66.6,74.7,62.1
BB17,-72.9981,41.4451,594,2021-06-27,0,68.2,74.1,80.1,69
BB17,-72.9981,41.4451,594,2021-06-28,0,70,77.4,84.6,69.9
BB17,-72.9981,41.4451,594,2021-06-29,0,72.8,81.8,90.7,71.2
