Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2001-05-01,0,47.6,61.9,76.1,34.1
BB17,-72.9981,41.4451,594,2001-05-02,0,54,69.3,84.7,41.7
BB17,-72.9981,41.4451,594,2001-05-03,0,54.8,71.8,88.8,46.5
BB17,-72.9981,41.4451,594,2001-05-04,0,56.6,72.8,89,52.2
BB17,-72.9981,41.4451,594,2001-05-05,0,60.8,75,89.2,52
BB17,-72.9981,41.4451,594,2001-05-06,0,40.7,55.9,71.2,34.7
BB17,-72.9981,41.4451,594,2001-05-07,0,28,46,63.9,30.3
BB17,-72.9981,41.4451,594,2001-05-08,0,32.2,47.8,63.4,27.2
BB17,-72.9981,41.4451,594,2001-05-09,0,38,52.1,66.3,40.1
BB17,-72.9981,41.4451,594,2001-05-10,0,49.2,62.1,75,46.8
BB17,-72.9981,41.4451,594,2001-05-11,0,47.9,64.4,80.8,41.6
BB17,-72.9981,41.4451,594,2001-05-12,0.04,55.2,69.9,84.6,48.2
BB17,-72.9981,41.4451,594,2001-05-13,0.05,49,66.8,84.6,50.8
BB17,-72.9981,41.4451,594,2001-05-14,0,38.7,52.5,66.3,29.7
BB17,-72.9981,41.4451,594,2001-05-15,0,44.8,55.9,67,33.3
BB17,-72.9981,41.4451,594,2001-05-16,0,48.1,56.6,65.1,34.9
BB17,-72.9981,41.4451,594,2001-05-17,0,44.8,51.6,58.3,43.5
BB17,-72.9981,41.4451,594,2001-05-18,0.01,50.3,55.5,60.6,44.4
BB17,-72.9981,41.4451,594,2001-05-19,0,52.3,55.2,58,48.9
BB17,-72.9981,41.4451,594,2001-05-20,0,48.7,62.6,76.5,48.8
BB17,-72.9981,41.4451,594,2001-05-21,0.03,46.4,57.1,67.7,45.6
BB17,-72.9981,41.4451,594,2001-05-22,0.76,51.5,57.5,63.5,52.2
BB17,-72.9981,41.4451,594,2001-05-23,1.15,55.1,57.2,59.3,55.6
BB17,-72.9981,41.4451,594,2001-05-24,1.12,53.1,56.8,60.5,55.1
BB17,-72.9981,41.4451,594,2001-05-25,0.45,47.5,54.4,61.3,51.7
BB17,-72.9981,41.4451,594,2001-05-26,0.32,49.2,53.8,58.4,47.4
BB17,-72.9981,41.4451,594,2001-05-27,1.28,52.4,56,59.5,55.3
BB17,-72.9981,41.4451,594,2001-05-28,0.05,55.4,61.6,67.9,57
BB17,-72.9981,41.4451,594,2001-05-29,0.16,49.9,59.6,69.3,51.1
BB17,-72.9981,41.4451,594,2001-05-30,0.09,42.8,57,71.2,48.1
BB17,-72.9981,41.4451,594,2001-05-31,0.03,39.3,50.1,60.9,34.7
,,,,,,,,,
BE74,-73.4035,41.3938,430,2001-05-01,0,50.6,64.9,79.2,37.3
BE74,-73.4035,41.3938,430,2001-05-02,0,52,70.3,88.6,45
BE74,-73.4035,41.3938,430,2001-05-03,0,54,73.7,93.5,49.6
BE74,-73.4035,41.3938,430,2001-05-04,0,57.7,75.2,92.7,54.4
BE74,-73.4035,41.3938,430,2001-05-05,0,55,73.9,92.8,55.2
BE74,-73.4035,41.3938,430,2001-05-06,0,40.8,57.5,74.2,37.8
BE74,-73.4035,41.3938,430,2001-05-07,0,32.8,50.7,68.7,33.8
BE74,-73.4035,41.3938,430,2001-05-08,0,33.5,51.5,69.4,31.1
BE74,-73.4035,41.3938,430,2001-05-09,0,39.8,56.1,72.4,43.2
BE74,-73.4035,41.3938,430,2001-05-10,0,46.3,63,79.6,49.4
