OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Uxbridge,True,Uxbridge, ,Uxbridge,0.408476659860589,0.00844613319442246
2,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Foxborough,True,Foxborough, ,Foxborough,0.332409183699228,0.00587375145325884
3,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Southbridge,True,Southbridge, ,Southbridge,0.345234184497118,0.00582149813304502
4,Land,Other States,MA,Massachusetts,FIPS-COUNTY,5,Bristol,TOWN-ID,Easton,True,Easton, ,Easton,0.182904150333166,0.00153951604040662
5,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Agawam,True,Agawam, ,Agawam,0.401121082164731,0.00686423785311511
6,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Gallatin,True,Gallatin, ,Gallatin,0.44782109148972,0.0111748424378806
7,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Douglas,True,Douglas, ,Douglas,0.467681050775382,0.0107587234020001
8,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Hampden,True,Hampden, ,Hampden,0.311724522486209,0.00554683866350424
9,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Southwick,True,Southwick, ,Southwick,0.465391939471009,0.00891167631376538
10,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Wrentham,True,Wrentham, ,Wrentham,0.427792329409832,0.00637159746727082
11,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Dudley,True,Dudley, ,Dudley,0.357027904753947,0.00617006230241752
